101325,,,,,,,,,,,dens/press,Pressure,Density (kg/m3),,Temp (K),,,,,Speed of Sound (m/s)
Mach,Drag [N],Cd,,,,,,,,,1.16125E-05,101325,1.176655,,300,,,,,347.092
0.025,0.303963884,0.414355663,,,,,,,,,1.16125E-05,70000,0.812892,,,,,,,
0.075,2.29903168,0.348220023,,,,,,,,,,,,,,,,,,
0.125,5.9316856,0.323436783,,,,,,,,,,,,,,,,,,
0.175,11.0977336,0.308737589,,,,,,,,,,,,,,,,,,
0.225,17.7380324,0.298518822,,,,,,,,,,,,,,,,,,
0.275,25.8090432,0.290762121,,,,,,,,,,,,,,,,,,
0.3,30.0847324,0.284796701,,,,,,,,,,,,,,,,,,
0.325,34.9587724,0.281981595,,,,,,,,,,,,,,,,,,
0.35,40.175572,0.279419873,,,,,,,,,,,,,,,,,,
0.375,45.72998,0.277057421,,,,,,,,,,,,,,,,,,
0.4,51.626568,0.274906231,,,,,,,,,,,,,,,,,,
0.425,57.864556,0.272939302,,,,,,,,,,,,,,,,,,
0.45,64.44654,0.271147678,,,,,,,,,,,,,,,,,,
0.475,71.374432,0.269517368,,,,,,,,,,,,,,,,,,
0.5,78.652652,0.268043125,,,,,,,,,,,,,,,,,,
0.525,86.287596,0.266723372,,,,,,,,,,,,,,,,,,
0.55,94.311044,0.265624717,,,,,,,,,,,,,,,,,,
0.575,102.674644,0.264581106,,,,,,,,,,,,,,,,,,
0.6,111.394388,0.263628356,,,,,,,,,,,,,,,,,,
0.625,120.511332,0.262844663,,,,,,,,,,,,,,,,,,
0.65,129.989168,0.262127003,,,,,,,,,,,,,,,,,,
0.675,139.884856,0.261573935,,,,,,,,,,,,,,,,,,
0.7,150.211364,0.261178859,,,,,,,,,,,,,,,,,,
0.725,160.989852,0.260947896,,,,,,,,,,,,,,,,,,
0.75,172.257948,0.260908395,,,,,,,,,,,,,,,,,,
0.775,184.10762,0.261155796,,,,,,,,,,,,,,,,,,
0.8,196.785028,0.261965072,,,,,,,,,,,,,,,,,,
0.825,211.000676,0.264123632,,,,,,,,,,,,,,,,,,
0.85,228.472416,0.269418388,,,,,,,,,,,,,,,,,,
0.875,251.087972,0.279409465,,,,,,,27.841196,111.364784,,,,,,,,,,
0.9,278.208224,0.292628254,,,,,,,,,,,,,,,,,,
0.925,306.150732,0.304847858,,,,,,,,,,,,,,,,,,
0.95,409.05524,0.386158911,,,,,,,,,,,,,,,,,,
0.96,453.12044,0.418892417,,,,,,,,,,,,,,,,,,
0.97,488.77568,0.442585754,,,,,,,,,,,,,,,,,,
0.975,513.29044,0.460029047,,,,,,,,,,,,,,,,,,
0.98,534.33924,0.474019522,,,,,,,,,,,,,,,,,,
0.99,600.42948,0.521942821,rling avg,,,,,,,,,,,,,,,,,
1,634.8382,0.540871829,,,,,,,,,,,,,,,,,,
1.025,688.72848,0.55851086,,1.01,644.09152,,,,,,,,,,,,,,,
1.03,705.64256,0.566684884,,1.02,662.44876,,,,,,,,,,,,,,,
1.04,719.19772,0.566516984,,,,,,,,,,,,,,,,,,
1.05,735.41236,0.568307827,,,,,,,,,,,,,,,,,,
1.08,757.05988,0.552985866,,,,,,,,,,,,,,,,,,
1.09,761.63444,0.546166287,,,,,,,,,,,,,,,,,,
1.1,766.30464,0.539569504,,1.06,702.47464,,,,,,,,,,,,,,,
1.11,784.352,0.542370877,,1.07,726.0408,,,,,,,,,,,,,,,
1.12,793.62572,0.539027596,,1.075,721.07112,,,,,,,,,,,,,,,
1.125,807.3444,0.543481923,,,,,,,,,,,,,,,,,,
1.13,803.24416,0.535947193,,,,,,,,,,,,,,,,,,
1.14,814.88116,0.534214763,,,,,,,,,,,,,,,,,,
1.15,823.40512,0.530455789,,,,,,,,,,,,,,,,,,
1.16,837.43352,0.530231681,,,,,,,,,,,,,,,,,,
1.17,846.77024,0.527017666,,,,,,,,,,,,,,,,,,
1.175,850.67964,0.524954444,,,,,,,,,,,,,,,,,,
1.18,856.10144,0.523832601,,,,,,,,,,,,,,,,,,
1.19,866.4688,0.521303112,,,,,,,,,,,,,,,,,,
1.2,878.75896,0.519922467,,,,,,,,,,,,,,,,,,
1.25,934.16764,0.509373215,,,,,,,,,,,,,,,,,,
1.3,988.92884,0.498551065,,,,,,,,,,,,,,,,,,
1.35,1042.70396,0.487444076,,,,,,,,,,,,,,,,,,
1.4,1099.23656,0.477822288,,,,,,,,,,,,,,,,,,
1.45,1156.5048,0.46864366,,,,,,,,,,,,,,,,,,
1.5,1213.96248,0.459678358,,,,,,,,,,,,,,,,,,
1.55,1272.41544,0.451228835,,,,,,,,,,,,,,,,,,
1.6,1331.31724,0.443070568,,,,,,,,,,,,,,,,,,
1.65,1392.11256,0.435650056,,,,,,,,,,,,,,,,,,
1.7,1454.45128,0.42877815,,,,,,,,,,,,,,,,,,
1.75,1517.84836,0.422263555,,,,,,,,,,,,,,,,,,
1.8,1582.3974,0.416103972,,,,,,,,,,,,,,,,,,
1.85,1648.1108,0.410274249,,,,,,,,,,,,,,,,,,
1.9,1714.7334,0.404688363,,,,,,,,,,,,,,,,,,
1.95,1781.66752,0.399198362,,,,,,,,,,,,,,,,,,
2,1848.57276,0.393738487,,,,,,,,,,,,,,,,,,
