mach,extension,drag
0.05,0.0,0.98614332
0.05,0.005086,1.0076134
0.05,0.010172,1.0884614
0.05,0.015258,1.19879036
0.05,0.020344,1.32018148
0.05,0.02543,1.49750612
0.1,0.0,3.56439112
0.1,0.005086,3.6617456
0.1,0.010172,4.0270224
0.1,0.015258,4.5022616
0.1,0.020344,5.023414
0.1,0.02543,5.4491844
0.15,0.0,7.5807604
0.15,0.005086,7.8174196
0.15,0.010172,8.6773144
0.15,0.015258,9.7501308
0.15,0.020344,10.9778116
0.15,0.02543,12.1636728
0.2,0.0,12.9526724
0.2,0.005086,13.3994164
0.2,0.010172,14.9503116
0.2,0.015258,17.0044868
0.2,0.020344,18.823068
0.2,0.02543,20.8704304
0.25,0.0,19.6402868
0.25,0.005086,20.3558352
0.25,0.010172,22.789142
0.25,0.015258,26.0160392
0.25,0.020344,29.0203652
0.25,0.02543,32.2453504
0.3,0.0,27.3917228
0.3,0.005086,28.582374
0.3,0.010172,32.0111312
0.3,0.015258,36.6960984
0.3,0.020344,40.91302
0.3,0.02543,45.998768
0.35,0.0,36.5899848
0.35,0.005086,38.2557412
0.35,0.010172,43.422604
0.35,0.015258,48.53062
0.35,0.020344,55.189216
0.35,0.02543,62.2834
0.4,0.0,47.017852
0.4,0.005086,49.165128
0.4,0.010172,55.952016
0.4,0.015258,62.929248
0.4,0.020344,71.032908
0.4,0.02543,80.65232
0.45,0.0,58.704052
0.45,0.005086,61.520064
0.45,0.010172,70.257868
0.45,0.015258,79.169864
0.45,0.020344,89.610604
0.45,0.02543,101.592352
0.5,0.0,71.66818
0.5,0.005086,75.293508
0.5,0.010172,86.203736
0.5,0.015258,97.377296
0.5,0.020344,110.560208
0.5,0.02543,124.963156
0.55,0.0,85.951072
0.55,0.005086,90.549036
0.55,0.010172,103.868332
0.55,0.015258,117.620392
0.55,0.020344,133.82382
0.55,0.02543,151.832936
0.6,0.0,101.493084
0.6,0.005086,107.26944
0.6,0.010172,123.997288
0.6,0.015258,142.058804
0.6,0.020344,162.045544
0.6,0.02543,185.229476
0.65,0.0,118.685012
0.65,0.005086,125.828688
0.65,0.010172,144.90196
0.65,0.015258,164.651492
0.65,0.020344,187.46772
0.65,0.02543,214.906088
0.7,0.0,137.283056
0.7,0.005086,146.083944
0.7,0.010172,168.665328
0.7,0.015258,191.731216
0.7,0.020344,218.562908
0.7,0.02543,250.542888
0.75,0.0,157.604948
0.75,0.005086,168.26378
0.75,0.010172,194.191096
0.75,0.015258,221.558244
0.75,0.020344,253.285136
0.75,0.02543,289.256036
0.8,0.0,180.193144
0.8,0.005086,193.243124
0.8,0.010172,223.0655
0.8,0.015258,254.888716
0.8,0.020344,292.228984
0.8,0.02543,331.862628
