mach,extension,drag
0.05,0.0,0.72112264
0.05,0.005086,0.73485096
0.05,0.010172,0.78547752
0.05,0.015258,0.86394832
0.05,0.020344,0.94186384
0.05,0.02543,1.02037352
0.1,0.0,2.59650716
0.1,0.005086,2.659536
0.1,0.010172,2.8955636
0.1,0.015258,3.21029004
0.1,0.020344,3.54532076
0.1,0.02543,3.89171872
0.15,0.0,5.5128196
0.15,0.005086,5.6653152
0.15,0.010172,6.2331644
0.15,0.015258,6.9385828
0.15,0.020344,7.639438
0.15,0.02543,8.3026292
0.2,0.0,9.4160672
0.2,0.005086,9.7022052
0.2,0.010172,10.744696
0.2,0.015258,12.070564
0.2,0.020344,13.3432244
0.2,0.02543,14.6054928
0.25,0.0,14.2660692
0.25,0.005086,14.7309308
0.25,0.010172,16.383068
0.25,0.015258,18.5400444
0.25,0.020344,20.5366492
0.25,0.02543,22.6963688
0.3,0.0,19.8733988
0.3,0.005086,20.6405388
0.3,0.010172,23.0431244
0.3,0.015258,26.54359717
0.3,0.020344,29.9289592
0.3,0.02543,32.22998
0.35,0.0,26.5093716
0.35,0.005086,27.5962652
0.35,0.010172,31.0355104
0.35,0.015258,35.3124928
0.35,0.020344,39.7112484
0.35,0.02543,43.245652
0.4,0.0,34.040896
0.4,0.005086,35.4464492
0.4,0.010172,40.100752
0.4,0.015258,44.996456
0.4,0.020344,51.159856
0.4,0.02543,56.234036
0.45,0.0,42.469088
0.45,0.005086,44.316636
0.45,0.010172,50.282116
0.45,0.015258,56.622348
0.45,0.020344,64.659028
0.45,0.02543,70.904252
0.5,0.0,51.791436
0.5,0.005086,54.163348
0.5,0.010172,61.57682
0.5,0.015258,69.532368
0.5,0.020344,80.086256
0.5,0.02543,87.504104
0.55,0.0,62.0092
0.55,0.005086,65.000388
0.55,0.010172,74.130456
0.55,0.015258,83.86956
0.55,0.020344,96.44942
0.55,0.02543,106.205256
0.6,0.0,73.149816
0.6,0.005086,76.8297
0.6,0.010172,88.196368
0.6,0.015258,101.217372
0.6,0.020344,113.74422
0.6,0.02543,128.387392
0.65,0.0,85.259336
0.65,0.005086,89.876332
0.65,0.010172,103.067112
0.65,0.015258,116.884628
0.65,0.020344,133.644288
0.65,0.02543,149.67938
0.7,0.0,98.411584
0.7,0.005086,104.098308
0.7,0.010172,119.591808
0.7,0.015258,135.785752
0.7,0.020344,157.232292
0.7,0.02543,174.406672
0.75,0.0,112.754312
0.75,0.005086,119.733084
0.75,0.010172,137.697992
0.75,0.015258,156.5829
0.75,0.020344,175.220976
0.75,0.02543,201.434836
0.8,0.0,128.751724
0.8,0.005086,137.227384
0.8,0.010172,157.986312
0.8,0.015258,179.677388
0.8,0.020344,201.482804
0.8,0.02543,231.197144
