state, elapsed ms, dt, acc x, acc y, acc z, alt, pressure mbar, barometer temp, kalman alt, kalman vel, kalman acc, utc time, lat, long, hdop, msl alt, geoid sep, pos fix, sats used,extention
1,11348336,0.007,-29.017193,-0.623437,-0.363672,-0.029064,1009.5,40.52,5.544787,-27.304426,-23.953556,0,0,0,0,0,0,0,0,0
2,11348350,0.007,-61.958218,-0.412891,-0.555078,21.297098,1006.950012,40.5,14.061711,-6.0593,-51.697536,0,0,0,0,0,0,0,0,0
2,11348364,0.007,-116.394165,-1.59961,-0.689063,21.297098,1006.950012,40.5,18.0191,2.040594,-106.431656,0,0,0,0,0,0,0,0,0
2,11348378,0.007,-123.28479,-1.523047,0.191406,21.297098,1006.950012,40.5,19.53388,3.973295,-120.348633,0,0,0,0,0,0,0,0,0
2,11348392,0.007,-124.069557,-1.867578,-0.038281,14.350439,1007.780029,40.5,17.256779,-3.58167,-123.739525,0,0,0,0,0,0,0,0,0
2,11348406,0.007,-122.863701,-1.771875,-1.358985,18.282213,1007.309998,40.5,16.468246,-7.056147,-123.013435,0,0,0,0,0,0,0,0,0
2,11348420,0.007,-122.940262,-1.637891,-1.033594,18.282213,1007.309998,40.5,18.455206,-3.598997,-122.946732,0,0,0,0,0,0,0,0,0
2,11348434,0.007,-122.327759,-1.810157,0.076563,21.297098,1006.950012,40.5,19.481464,-2.587676,-122.510735,0,0,0,0,0,0,0,0,0
2,11348448,0.007,-121.370728,-0.987109,-0.535938,19.286291,1007.190002,40.5,15.434134,-14.087797,-121.672005,0,0,0,0,0,0,0,0,0
2,11348462,0.007,-119.935181,-2.958594,-0.669922,33.359283,1005.51001,40.5,18.890589,-6.424583,-120.269188,0,0,0,0,0,0,0,0,0
2,11348476,0.007,-119.169556,-3.896485,-0.631641,9.332674,1008.380005,40.5,15.514081,-16.299814,-119.42733,0,0,0,0,0,0,0,0,0
2,11348490,0.007,-118.901588,-3.13086,-0.880469,3.979334,1009.02002,40.52,10.666678,-29.470652,-118.948349,0,0,0,0,0,0,0,0,0
2,11348504,0.007,-119.169556,-2.250391,-0.535938,2.309389,1009.219971,40.5,11.673183,-27.785412,-119.033936,0,0,0,0,0,0,0,0,0
2,11348518,0.007,-119.609795,-2.882032,-0.421094,27.326872,1006.22998,40.5,18.612011,-11.167056,-119.558533,0,0,0,0,0,0,0,0,0
2,11348532,0.007,-119.514091,-3.092579,-0.59336,19.286291,1007.190002,40.5,16.046078,-18.697012,-119.473991,0,0,0,0,0,0,0,0,0
